,Date of Buy,Buy Price,Date of Sell,Sell Price,Difference
0,2022-01-28 11:30:00-05:00,143.0500030517578,2022-01-31 13:30:00-05:00,154.9149932861328,11.864990234375
1,2022-02-02 12:30:00-05:00,138.77999877929688,2022-02-03 11:30:00-05:00,127.03500366210938,-11.7449951171875
2,2022-02-03 12:30:00-05:00,126.79499816894531,2022-02-09 15:30:00-05:00,146.61000061035156,19.81500244140625
3,2022-02-16 14:30:00-05:00,140.67999267578125,2022-02-18 10:30:00-05:00,126.83499908447266,-13.844993591308594
4,2022-02-18 11:30:00-05:00,127.63739776611328,2022-02-23 15:30:00-05:00,116.4000015258789,-11.237396240234375
5,2022-02-24 09:30:00-05:00,118.37000274658203,2022-02-25 11:30:00-05:00,146.0500030517578,27.68000030517578
6,2022-03-07 11:30:00-05:00,141.0399932861328,2022-03-11 09:30:00-05:00,125.30000305175781,-15.739990234375
7,2022-03-11 10:30:00-05:00,124.20999908447266,2022-03-17 12:30:00-04:00,139.03640747070312,14.826408386230469
8,2022-03-25 10:30:00-04:00,130.5,2022-04-07 11:30:00-04:00,119.98999786376953,-10.510002136230469
9,2022-04-07 12:30:00-04:00,121.01499938964844,2022-04-18 09:30:00-04:00,108.77999877929688,-12.235000610351562
10,2022-04-18 10:30:00-04:00,108.47470092773438,2022-04-22 11:30:00-04:00,98.77999877929688,-9.6947021484375
11,2022-04-22 12:30:00-04:00,97.94039916992188,2022-05-05 13:30:00-04:00,89.18000030517578,-8.760398864746094
12,2022-05-05 14:30:00-04:00,89.19999694824219,2022-05-11 11:30:00-04:00,80.86509704589844,-8.33489990234375
13,2022-05-11 12:30:00-04:00,79.4000015258789,2022-05-13 13:30:00-04:00,90.64620208740234,11.246200561523438
14,2022-05-18 11:30:00-04:00,79.5999984741211,2022-05-24 09:30:00-04:00,70.43000030517578,-9.169998168945312
15,2022-05-24 10:30:00-04:00,71.3499984741211,2022-05-27 11:30:00-04:00,81.22000122070312,9.870002746582031
16,2022-06-10 10:30:00-04:00,76.16999816894531,2022-06-16 09:30:00-04:00,68.71499633789062,-7.4550018310546875
17,2022-06-16 10:30:00-04:00,68.81999969482422,2022-06-23 10:30:00-04:00,78.76000213623047,9.94000244140625
18,2022-06-28 15:30:00-04:00,74.01000213623047,2022-07-05 11:30:00-04:00,85.7750015258789,11.764999389648438
19,2022-07-13 11:30:00-04:00,83.95500183105469,2022-07-20 09:30:00-04:00,89.51000213623047,5.555000305175781
20,2022-08-18 12:30:00-04:00,113.95500183105469,2022-08-22 09:30:00-04:00,103.70500183105469,-10.25
21,2022-08-22 10:30:00-04:00,104.44999694824219,2022-09-09 12:30:00-04:00,111.58999633789062,7.1399993896484375
22,2022-09-20 13:30:00-04:00,104.91000366210938,2022-09-23 09:30:00-04:00,95.42500305175781,-9.485000610351562
23,2022-09-23 10:30:00-04:00,95.4800033569336,2022-09-30 12:30:00-04:00,103.76000213623047,8.279998779296875
24,2022-10-11 13:30:00-04:00,106.91000366210938,2022-10-13 09:30:00-04:00,92.1500015258789,-14.760002136230469
25,2022-10-13 10:30:00-04:00,95.08999633789062,2022-10-25 10:30:00-04:00,103.26750183105469,8.177505493164062
26,2022-10-28 11:30:00-04:00,95.87999725341797,2022-11-02 14:30:00-04:00,87.8499984741211,-8.029998779296875
27,2022-11-02 15:30:00-04:00,87.48999786376953,2022-11-08 10:30:00-05:00,102.5199966430664,15.029998779296875
28,2022-11-18 15:30:00-05:00,113.94999694824219,2022-11-30 10:30:00-05:00,124.79000091552734,10.840003967285156
29,2022-12-09 11:30:00-05:00,128.07000732421875,2023-01-03 09:30:00-05:00,113.69999694824219,-14.370010375976562
30,2023-01-03 10:30:00-05:00,113.1050033569336,2023-01-10 14:30:00-05:00,125.7300033569336,12.625
